seed,mode,overcommit_events,mean_time_to_admission,p95_time_to_admission,mean_waiting_time,lock_swaps
0,BASELINE,2,18.726931662848294,53.74417896713384,7.829999999999774,0
0,LOCKED,0,11.89693166284853,18.305351143837587,0.0,0
1,BASELINE,1,12.377480635687537,17.948465206338607,1.760000000000025,0
1,LOCKED,0,11.437480635687525,17.53144355925136,0.0,2
2,BASELINE,1,12.768592263672085,25.2669514386954,2.5200000000000067,0
2,LOCKED,0,10.028592263672076,16.36854133001042,0.0,0
3,BASELINE,0,11.816974056552747,19.13882496118296,0.0,0
3,LOCKED,0,11.816974056552747,19.13882496118296,0.0,0
4,BASELINE,1,12.16718488959538,21.007343266107636,1.3800000000000197,0
4,LOCKED,0,11.707184889595373,18.143263146134604,0.0,2
